propery_type,rooms,foor,square_foot,price,sector,block,property,day,month,year,lat,lng
1,5.0,15,111.85,3400000,2717,36,56,14,04,2022,31.9974998,34.7432501
1,5.0,15,111.85,2570000,2717,36,56,19,11,2019,31.9974998,34.7432501
1,5.0,15,111.85,1450000,2717,36,56,23,10,2008,31.9974998,34.7432501
1,5.0,2,119.73,2830000,4746,8,7,13,04,2022,31.9831861,34.7809616
1,5.0,2,119.73,1730000,4746,8,7,06,11,2013,31.9831861,34.7809616
1,5.0,2,112.6,3120000,5116,96,8,10,04,2022,31.9726344,34.7736909
1,5.0,2,112.6,1650000,5116,96,8,04,06,2013,31.9726344,34.7736909
2,5.0,2,155.03,3200000,3929,940,4,06,04,2022,31.9678436,34.81455870000001
2,5.0,2,155.03,929000,3929,940,4,12,02,2007,31.9678436,34.81455870000001
1,5.0,5,110.86,2650000,3945,905,16,05,04,2022,31.9676297,34.7967393
1,5.0,5,110.86,1800000,3945,905,16,20,08,2015,31.9676297,34.7967393
1,5.0,8,149.66,2670000,3928,776,32,29,03,2022,31.9718548,34.8012746
1,5.0,8,149.66,1360000,3928,776,32,29,11,2009,31.9718548,34.8012746
1,5.0,8,149.66,1300000,3928,776,32,25,01,2009,31.9718548,34.8012746
1,5.0,4,106.1,2430000,3926,1164,14,28,03,2022,31.9604171,34.7945751
1,5.0,4,106.1,1790000,3926,1164,14,25,02,2016,31.9604171,34.7945751
1,5.0,4,106.1,825000,3926,1164,14,03,05,2004,31.9604171,34.7945751
1,7.0,0,195.4,4500000,6286,287,2,24,03,2022,31.9655179,34.8226244
1,7.0,0,195.4,1291000,6286,287,2,04,07,2007,31.9655179,34.8226244
1,6.0,1,110.79,2050000,3930,642,3,24,03,2022,31.9657613,34.8110704
1,6.0,1,110.79,1640000,3930,642,3,02,12,2014,31.9657613,34.8110704
1,5.0,6,95.06,3130000,5039,7,25,23,03,2022,31.972787,34.7784955
1,5.0,6,95.06,2500000,5039,7,25,20,02,2020,31.972787,34.7784955
1,5.0,12,108.0,3500000,5096,3,96,22,03,2022,31.9702129,34.7638585
1,5.0,12,108.0,1272000,5096,3,96,03,07,2002,31.9702129,34.7638585
1,5.0,6,105.0,2220000,3928,831,37,21,03,2022,31.9711659,34.8022205
1,5.0,6,105.0,1700000,3928,831,37,26,07,2016,31.9711659,34.8022205
1,5.0,9,145.4,5200000,6286,325,36,20,03,2022,31.97043219999999,34.82374190000001
1,5.0,9,145.4,2637000,6286,325,36,01,12,2015,31.97043219999999,34.82374190000001
